ID,City,Province,SALEDT,Price,SQFT,RMTOT,RMBED,BATH,FLR1AREA,BSMT,HEATSYS,ATTIC,SFLA,GRADE,SALE_YEAR,SALE_MONTH,EFF_AGE,Style
162,85,3,2016-04-15,117000,6859,6,6,2,1145,7,2,1,2001,C,-2,4,25,B
163,54,2,2017-06-28,315000,4458,3,3,2,720,7,1,1,2020,B,-1,6,5,R
164,69,1,2013-07-31,137000,29815,3,3,1,1092,2,4,0,1092,D,-5,7,5,U
165,33,3,2013-09-19,45000,31493,3,3,1,450,2,3,1,758,E,-5,9,453,U
166,54,2,2016-06-15,330000,56544,3,3,2,954,7,1,0,1908,C,-2,6,10,U
167,54,2,2013-05-17,202000,37600,3,3,1,816,7,1,1,1686,C,-5,5,24,U
168,54,2,2016-02-11,359900,70915,3,3,2,1887,1,5,0,2075,B,-2,2,2,U
169,54,2,2015-12-10,168000,28490,3,3,1,720,7,3,1,1440,C,-3,12,47,U
170,33,3,2013-09-30,49900,5329,2,2,2,722,1,1,1,1248,D,-5,9,463,U
171,33,3,2017-06-29,95000,24210,4,4,1,943,7,3,1,1109,D,-1,6,38,U
172,83,3,2016-03-29,112000,4999,4,4,1,705,7,3,1,1250,D,-2,3,42,U
173,54,2,2017-03-21,368000,5250,3,3,1,1148,7,3,1,1562,C,-1,3,49,U
174,59,2,2016-02-09,249500,827640,3,3,1,758,7,2,1,1161,C,-2,2,15,U
175,85,3,2013-07-02,87000,28337,3,3,1,698,7,1,1,984,C,-5,7,112,U
176,54,2,2016-04-21,167000,4000,3,3,1,760,5,1,1,870,D,-2,4,36,U
177,30,3,2016-06-01,25000,9900,4,4,1,1442,2,3,1,1953,C,-2,6,441,U
178,77,2,2014-07-25,310000,16680,4,4,1,1422,7,1,1,2358,B,-4,7,45,U
179,54,2,2017-11-09,345000,6999,5,5,2,1419,5,3,1,1781,C,-1,11,36,U
180,76,2,2014-05-16,155000,5280,3,3,1,824,7,3,1,1616,C,-4,5,39,U
181,54,2,2017-01-27,378000,3300,3,3,2,790,5,3,1,1437,C,-1,1,36,U
182,54,2,2017-11-23,580000,7554,4,4,3,895,7,3,1,3139,B,-1,11,28,U
183,93,1,2013-05-06,108000,4300,3,3,1,576,2,2,1,864,C,-5,5,29,U
184,20,1,2014-06-02,140000,18073,2,2,1,2068,7,3,0,1992,D,-4,6,29,U
185,74,2,2014-05-02,93500,568458,3,3,1,624,1,6,1,936,D,-4,5,23,U
186,27,3,2015-08-20,50000,784080,4,4,1,654,2,6,1,1092,C,-3,8,445,U
187,54,2,2017-03-09,155000,12163,3,3,1,958,5,3,1,1260,D,-1,3,36,U
188,69,1,2015-07-15,173000,12540,3,3,1,1170,7,2,1,1743,C,-3,7,20,S
189,54,2,2013-07-31,360000,16800,5,5,3,1400,5,1,1,3395,C,-5,7,35,U
190,75,2,2015-11-16,560000,47916,3,3,3,960,7,5,1,2717,C,-3,11,8,U
191,59,2,2013-06-20,200000,0,3,3,1,1158,7,2,1,1458,C,-5,6,27,B
192,69,1,2015-09-04,152363,182952,2,2,2,1908,7,2,1,1548,C,-3,9,36,U
193,54,2,2016-11-15,362500,95832,4,4,3,1456,7,1,1,2256,C,-2,11,16,U
194,23,1,2015-03-31,290000,1089000,3,3,1,1145,6,1,1,1546,B,-3,3,25,U
195,95,1,2013-03-01,237000,16170,3,3,2,1677,7,2,1,1197,C,-5,3,9,U
196,54,2,2013-05-31,209000,8250,3,3,1,1402,2,4,1,1402,C,-5,5,40,U
197,43,2,2015-08-06,225000,18117,2,2,1,1296,2,2,0,1296,C,-3,8,5,U
198,33,3,2013-05-30,36500,29736,3,3,1,584,1,1,1,1012,C,-5,5,448,U
199,54,2,2017-10-17,274000,0,3,3,3,720,7,2,0,1940,C,-1,10,0,U
200,62,2,2016-05-13,118000,14000,2,2,1,672,7,3,1,1008,C,-2,5,46,U
201,54,2,2013-05-30,235000,20000,3,3,2,1092,7,2,1,1573,C,-5,5,16,B
202,33,3,2017-03-14,35000,12360,2,2,1,953,7,1,1,953,D,-1,3,442,U
203,54,2,2016-04-14,228000,7299,3,3,1,588,7,1,1,1176,C,-2,4,38,U
204,74,2,2017-08-28,260000,12015,3,3,1,736,7,3,1,1232,C,-1,8,40,U
205,54,2,2016-12-20,415000,107593,3,3,2,2103,7,2,1,2303,C,-2,12,27,U
206,85,3,2017-03-31,95000,12407,3,3,1,960,7,3,1,960,C,-1,3,37,U
207,43,2,2016-09-30,342000,17565,5,5,3,2064,7,4,0,2417,C,-2,9,6,U
208,75,2,2014-05-30,126500,1102939,3,3,2,924,6,3,1,1417,C,-4,5,55,U
209,97,1,2015-01-19,99000,827640,2,2,1,1410,5,3,1,1302,C,-3,1,59,U
210,69,1,2014-10-15,235000,21958,4,4,2,1400,7,1,1,2072,C,-4,10,27,S
211,54,2,2017-08-16,705000,159000,3,3,3,2184,7,5,1,3900,B,-1,8,6,U
212,43,2,2014-03-31,48185,18435,3,3,2,2456,2,4,0,1592,C,-4,3,4,U
213,54,2,2013-12-02,121900,6143,2,2,1,676,7,3,1,1014,C,-5,12,64,U
214,54,2,2016-07-12,291900,13362,4,4,2,1233,7,1,1,1932,C,-2,7,17,B
215,33,3,2015-09-24,29000,5528,3,3,1,720,1,6,1,720,C,-3,9,460,H
216,78,2,2016-01-27,400000,86249,4,4,2,899,2,1,1,2582,C,-2,1,39,U
217,54,2,2016-08-15,489900,6525,4,4,2,1323,7,1,1,1739,C,-2,8,28,S
218,33,3,2016-04-14,160000,9000,3,3,2,942,7,3,1,942,C,-2,4,36,U
219,54,2,2014-06-25,585900,12159,5,5,3,1669,7,5,1,3576,B,-4,6,2,U
220,54,2,2016-12-01,175000,4176,3,3,1,560,7,3,1,1390,C,-2,12,31,H
221,54,2,2013-10-16,447500,1539,2,2,2,702,7,2,1,1755,B,-5,10,25,S
222,98,1,2017-06-30,178600,10350,2,2,2,1144,7,2,1,1144,C,-1,6,29,U
223,27,3,2016-08-25,271000,25988,6,6,3,1563,7,2,1,2587,C,-2,8,27,B
224,59,2,2016-09-19,270000,97139,3,3,2,1568,7,2,0,1909,C,-2,9,9,U
225,69,1,2016-05-18,158000,7642,4,4,1,1030,7,1,1,1682,C,-2,5,36,U
226,54,2,2015-07-15,262000,9895,4,4,2,1050,7,2,1,1743,C,-3,7,19,B
227,54,2,2013-11-14,227900,6203,3,3,2,945,7,3,1,1704,C,-5,11,11,B
228,54,2,2015-09-24,198000,7107,3,3,2,608,7,2,1,1636,C,-3,9,28,H
229,89,1,2013-08-30,175000,38899,2,2,1,675,2,2,1,1013,C,-5,8,17,U
230,92,1,2016-12-02,195000,566280,3,3,2,754,7,2,1,1131,C,-2,12,18,U
231,75,2,2016-03-29,74000,435600,3,3,1,594,6,3,1,869,C,-2,3,146,U
232,54,2,2013-04-15,868000,4140,11,11,3,1266,7,1,1,2933,B,-5,4,9,H
233,54,2,2015-07-13,315000,6154,3,3,3,1376,7,1,1,2045,C,-3,7,10,B
234,43,2,2017-04-13,105000,75794,3,3,1,1380,7,3,1,1380,C,-1,4,39,U
235,59,2,2017-07-21,357000,22304,4,4,3,2291,5,3,1,2663,C,-1,7,21,U
236,89,1,2013-11-07,88600,435600,3,3,1,604,5,3,1,870,C,-5,11,37,U
237,27,3,2015-07-31,239000,15900,2,2,2,1962,5,2,1,2462,C,-3,7,21,U
238,54,2,2015-07-27,279500,6186,3,3,2,1170,7,2,1,1981,C,-3,7,19,B
239,54,2,2017-06-15,350000,14604,3,3,1,2803,3,1,1,2539,C,-1,6,53,U
240,33,3,2016-09-29,133000,10400,3,3,1,945,7,3,1,1654,C,-2,9,54,U
241,69,1,2015-12-11,230000,295772,4,4,2,1036,7,3,1,2354,C,-3,12,37,U
242,81,3,2017-06-30,179000,40000,5,5,2,1675,4,1,1,2424,B,-1,6,40,U
243,27,3,2017-05-30,185000,67518,3,3,1,975,7,1,1,1596,C,-1,5,36,U
244,54,2,2013-08-15,239900,7194,3,3,1,704,7,5,0,1456,C,-5,8,1,H
245,54,2,2017-01-03,135000,3373,3,3,1,686,7,2,1,1256,C,-1,1,33,B
246,83,3,2015-05-25,160000,10200,3,3,1,1560,7,2,1,2051,C,-3,5,30,B
247,54,2,2017-06-27,372500,10614,4,4,2,1335,7,2,1,2634,B,-1,6,22,U
248,33,3,2016-07-28,225000,131116,4,4,1,1817,7,5,1,2282,C,-2,7,11,U
249,59,2,2016-12-19,330860,0,3,3,2,816,4,5,0,1632,C,-2,12,0,U
250,54,2,2017-05-31,298301,5700,3,3,2,1064,7,3,1,1464,C,-1,5,48,U
251,33,3,2013-08-16,36000,3354,3,3,1,737,2,3,1,1519,D,-5,8,77,U
252,47,2,2013-08-22,55000,14968,2,2,1,721,7,3,1,1002,C,-5,8,47,U
253,54,2,2017-05-01,350600,5760,3,3,3,976,5,2,0,2218,C,-1,5,0,U
254,33,3,2013-08-20,16500,9100,3,3,1,542,1,6,1,813,C,-5,8,448,U
255,33,3,2014-09-20,135000,5000,2,2,1,1680,7,3,1,1680,D,-4,9,4,U
256,54,2,2015-11-26,580991,68671,3,3,2,2898,7,5,0,2002,B,-3,11,0,U
257,27,3,2017-10-04,140000,87120,4,4,1,1198,7,2,1,1498,C,-1,10,40,S
258,33,3,2016-03-11,12600,2950,2,2,1,420,1,6,1,882,E,-2,3,451,H
259,54,2,2015-09-01,330000,7677,3,3,3,1430,7,1,1,2082,C,-3,9,15,B
260,25,1,2017-08-25,157500,11300,4,4,1,1418,5,3,1,1418,C,-1,8,40,U
261,54,2,2015-10-13,202000,6000,4,4,1,1092,7,1,1,2020,C,-3,10,39,B
262,54,2,2016-02-10,316500,1476,3,3,1,549,5,3,1,1098,B,-2,2,35,R
263,54,2,2016-10-20,315000,77142,4,4,3,850,7,1,1,2380,C,-2,10,11,U
264,54,2,2017-11-27,375000,50361,3,3,2,1298,7,1,1,2450,C,-1,11,12,U
265,54,2,2017-10-16,395000,9688,3,3,2,753,7,1,1,2325,C,-1,10,18,U
266,33,3,2013-02-27,84900,94961,2,2,2,731,7,1,1,897,C,-5,2,33,U
267,54,2,2015-07-31,240000,20416,3,3,2,1080,7,1,0,1430,C,-3,7,4,U
268,54,2,2017-03-01,292900,6613,3,3,2,896,7,5,0,1808,C,-1,3,3,U
269,54,2,2015-06-01,153000,7242,1,1,1,792,7,3,1,1838,C,-3,6,67,U
270,54,2,2015-07-15,210000,8000,3,3,2,1176,7,1,1,1449,C,-3,7,43,U
271,54,2,2017-07-17,286250,6600,3,3,2,1032,7,3,1,1400,C,-1,7,38,U
272,54,2,2015-03-23,282000,3750,5,5,1,600,7,3,1,1403,C,-3,3,40,U
273,66,3,2013-04-24,159900,5837040,4,4,1,1032,7,3,1,1296,C,-5,4,47,U
274,54,2,2017-05-01,300000,5850,4,4,2,784,7,3,1,1568,C,-1,5,44,U
275,48,2,2013-05-16,355000,16768,3,3,3,2492,7,1,1,2651,C,-5,5,9,U
276,54,2,2013-05-07,201900,4200,4,4,1,750,7,2,1,1388,C,-5,5,15,B
277,54,2,2017-03-27,209900,6262,3,3,1,1044,7,2,1,1470,C,-1,3,36,B
278,54,2,2017-09-18,320000,6131,3,3,3,1350,7,2,1,2176,C,-1,9,24,B
279,98,1,2014-06-18,156950,15860,4,4,3,1292,5,3,1,1728,C,-4,6,30,U
280,20,1,2013-06-28,155000,739213,4,4,1,1283,4,3,1,1782,C,-5,6,39,U
281,47,2,2013-04-30,66000,42700,3,3,1,803,7,3,1,803,D,-5,4,48,U
282,65,3,2017-08-22,165000,20276,4,4,2,1834,7,2,1,2050,C,-1,8,36,U
283,64,3,2015-09-03,70000,21192,2,2,1,720,7,1,1,900,C,-3,9,31,B
284,54,2,2015-06-15,422000,7054,3,3,2,1057,5,5,0,2544,C,-3,6,2,U
285,69,1,2017-08-08,164500,24434,4,4,2,1478,7,1,1,1868,C,-1,8,44,U
286,54,2,2015-09-01,205000,4000,4,4,1,725,7,3,1,1216,E,-3,9,448,U
287,54,2,2017-11-30,227000,16000,4,4,2,980,7,3,1,1716,C,-1,11,62,U
288,54,2,2017-01-06,348000,37104,4,4,3,1463,7,2,1,2221,C,-1,1,24,B
289,81,3,2014-04-01,317000,8357,4,4,2,1208,7,2,0,2671,C,-4,4,6,U
290,59,2,2016-09-29,110000,261360,3,3,1,800,6,3,1,1200,C,-2,9,46,U
291,54,2,2013-07-11,235000,4119,4,4,2,733,7,2,1,1797,C,-5,7,24,H
